Filename,Title,GameID,Region,FMID
LOVE_HI2.SYS,Love Hina: Smile Again,HDR-0139  ,Japan,HDR0139
MACROSSM3.SV,Macross M3,T21501M   ,Japan,T21502M
MAGFORCE_???,MagForce Racing,T40207D 50,Europe,T40207D50
MAGFORCE_???,MagForce Racing,T40208N   ,USA,T40207D50
MAGIC_6E.DAT,Magic: The Gathering,HDR-0116  ,Japan,HDR0116
MAKEN__X.???,Maken X,MK-5105050,Europe,MK5105050
MAKEN__X.???,Maken X,T14401M   ,Japan,MK5105050
MAKEN__X.???,Maken X,MK-51050  ,USA,MK5105050
MARINE_F.SYS,Sega Marine Fishing,HDR-0104  ,Japan,HDR0104
MARINE_F.SYS,Sega Marine Fishing,MK-51096  ,USA,HDR0104
MARIONET_SYS,Marionette Handler,T2201M    ,Japan,T2201M
MARIONET_001,Marionette Handler 2,T2204M    ,Japan,T2204M
MARSMATRIX??,Mars Matrix,T1238M    ,Japan,T1238M
MARSMATRIX??,Mars Matrix,T1221N    ,USA,T1238M
MVLVSCAP_DAT,Marvel vs. Capcom: Clash of Super Heroes,T7002D 50 ,Europe,T7002D50
MVLVSCAP_DAT,Marvel vs. Capcom: Clash of Super Heroes,T1202M    ,Japan,T7002D50
MVLVSCAP_DAT,Marvel vs. Capcom: Clash of Super Heroes,T1202N    ,USA,T7002D50
MVLVSCP2_SYS,Marvel vs. Capcom 2,T1212N    ,USA,T1212N
MVLVSCP2_SYS,Marvel vs. Capcom 2: New Age of Heroes,T7010D  50,Europe,T1212N
MVLVSCP2_SYS,Marvel vs. Capcom 2: New Age of Heroes,T1215M    ,Japan,T1212N
MVLVS.C2_SYS,Marvel vs. Capcom 2,T1212N    ,USA,T1212N
MVLVS.C2_SYS,Marvel vs. Capcom 2: New Age of Heroes,T7010D  50,Europe,T1212N
MVLVS.C2_SYS,Marvel vs. Capcom 2: New Age of Heroes,T1215M    ,Japan,T1212N
MHPROBMX.???,Mat Hoffman's Pro BMX,T13005N   ,USA,T13005N
MAXPOOL2.SYS,Maximum Pool,T11010N   ,USA,T11002N
MAXSTEEL.???,Max Steel: Covert Missions,T41402N   ,USA,T41402N
MDK2SAVE.SAV,MDK2,T12501D 50,Europe,T12501D50
MDK2SAVE.SAV,MDK2,T12502N   ,USA,T12501D50
KAENSEIBOSYS,Kaen Seibo: The Virgin on Megiddo,T42802M   ,Japan,T42802M
MEMO_OFF.DAT,Memories Off Complete,T19702M   ,Japan,T19702M
MEM_OFF2.DAT,Memories Off 2nd,T19707M   ,Japan,T19708M
MSR?????????,MSR: Metropolis Street Racer,MK-5102250,Europe,952004250
MSR?????????,MSR: Metropolis Street Racer,MK-51012  ,USA,952004250
MILKYSEA.DAT,Milky Season,T19713M   ,Japan,T19717M
MIZUIRO__SYS,Mizuiro,T20114M   ,Japan,T20114M
MKGOLD___SYS,Mortal Kombat Gold,T9701D    ,Europe,T9701D50
MKGOLD___SYS,Mortal Kombat Gold,T-9701N   ,USA,T9701D50
MONACOGP.PIL,Monaco Grand Prix,17701N    ,USA,T17701N
MONACOGP.PIL,Monaco Grand Prix Racing Simulation 2,T17701M   ,Japan,
MSPACMMM.SYS,Ms. Pac-Man Maze Madness,T1404N    ,USA,T1404N
MTV_SK8BOARD,MTV Sports: Skateboarding featuring Andy Macdonald,T10001D 50,Europe,
MTV_SK8BOARD,MTV Sports: Skateboarding featuring Andy Macdonald,T10004N   ,USA,
NADESICO.???,Kidou Senkan Nadesico: Nadesico the Mission,T27901M   ,Japan,T27901M
NAKORURU_SYS,Nakoruru: Ano Hito kara no Okurimono,T44702M   ,Japan,T44702M
NAMCOMUS.SYS,Namco Museum,T1403N    ,USA,T1403N
7HIKAN2SV???,Nanatsu no Hikan: Senritsu no Bishou,T7604M    ,Japan,T7604M
SEGANBA2KSET,NBA 2K,MK-5100450,Europe,952003650
SEGANBA2KSET,NBA 2K,HDR-0069  ,Japan,952003650
SEGANBA2KSET,NBA 2K,MK-51004  ,USA,952003650
VCSEGANBA2K1,NBA 2K1,HDR-0150  ,Japan,HDR0150
VCSEGANBA2K1,NBA 2K1,MK-51063  ,USA,HDR0150
ROSTER.UPD,NBA 2K1,HDR-0150  ,Japan,HDR0150
ROSTER.UPD,NBA 2K1,MK-51063  ,USA,HDR0150
VCSEGANBA2K2,NBA 2K2,MK-51178  ,Europe,MK5117850
VCSEGANBA2K2,NBA 2K2,HDR-0197  ,Japan,
VCSEGANBA2K2,NBA 2K2,MK-51178  ,USA,MK5117850
NBAHOOPZ_SYS,NBA Hoopz,T9713D    ,Europe,T9713D50
NBAHOOPZ_SYS,NBA Hoopz,T9709N    ,USA,T9713D50
NBAONNBC.???,NBA Showtime: NBA on NBC,T-9706D-50,Europe,
NBAONNBC.???,NBA Showtime: NBA on NBC,T-9706N   ,USA,
SEGA_NCAA2K2,NCAA College Football 2K2: Road to the Rose Bowl,MK-51176  ,USA,MK51176
NEVER7DC.DLF,Never 7: The End of Infinity,T19703M   ,Japan,T19703M
SEGANFL2KSET,NFL 2K,HDR-0058  ,Japan,HDR0058
SEGANFL2KSET,NFL 2K,MK-51003  ,USA,HDR0058
SEGA_NFL_2K1,NFL 2K1,HDR-0144  ,Japan,HDR0144
SEGA_NFL_2K1,NFL 2K1,MK-51062  ,USA,HDR0144
ROSTER.UPD,NFL 2K1,HDR-0144  ,Japan,HDR0144
ROSTER.UPD,NFL 2K1,MK-51062  ,USA,HDR0144
SEGA_NFL_2K2,NFL 2K2,HDR-0196  ,Japan,HDR0196
SEGA_NFL_2K2,NFL 2K2,MK-51168  ,USA,HDR0196
BLTZ2000.SYS,NFL Blitz 2000,T-9703D-50,Europe,
BLTZ2000.SYS,NFL Blitz 2000,T-9703N   ,USA,
BLTZ2001.???,NFL Blitz 2001,T9712N    ,USA,
SEGANHL2K???,NHL 2K,MK-5102550,Europe,
SEGANHL2K???,NHL 2K,MK-51025  ,USA,
NCREATURESII,Nightmare Creatures II,T-9502D-50,Europe,T9502D50
NCREATURESII,Nightmare Creatures II,T9504N    ,USA,T9502D50
NIJYUEI_.SYS,Nijuuei,T46505M   ,Japan,
THENOMADSOUL,Omikron: The Nomad Soul,T36807N   ,USA,T36805D61
THENOMADSOUL,The Nomad Soul,T36805D 61,Europe,T36805D61
THENOMADSOUL,The Nomad Soul,T36805D 09,France,T36805D61
THENOMADSOUL,The Nomad Soul,T36805D 18,Germany,T36805D61
OOGA___BOOGA,Ooga Booga,MK-51140  ,USA,MK51140
OUTTRIGR.SYS,Outtrigger,MK-5110250,Europe,MK5110250
OUTTRIGR.SYS,Outtrigger,HDR-0118  ,Japan,MK5110250
OUTTRIGR.SYS,Outtrigger,MK-51102  ,USA,MK5110250
PENWRD.00000,PenPen,T15103D 50,Europe,T15103D50
PENWRD.00000,PenPen TriIcelon,T17001M   ,Japan,T15103D50
PENWRD.00000,PenPen TriIcelon,T15105N   ,USA,T15103D50
PIA3DATA_SYS,Pia Carrot e Youkoso!! 3,T20122M   ,Japan,T20110M
PLASMA_SWORD,Plasma Sword: Nightmare of Bilstein,T7005D  50,Europe,T7005D50
PLASMA_SWORD,Plasma Sword: Nightmare of Bilstein,T1207N    ,USA,T7003D50
POD_MLTP.SYS,POD 2: Multiplayer Online,T-17710D50,Europe,T17713N
POD_MLTP.SYS,POD: Speedzone,T-17713N  ,USA,T17713N
POWSTONE_???,Power Stone,T36801D 50,Europe,T36801D50
POWSTONE_???,Power Stone,T1201M    ,Japan,T36801D50
POWSTONE_???,Power Stone,T1201N    ,USA,T36801D50
P_STONE2_???,Power Stone 2,T36812D 50,Europe,T36812D
P_STONE2_???,Power Stone 2,T1218M    ,Japan,T36812D
P_STONE2_???,Power Stone 2,T1211N    ,USA,T36812D
PRINCELV.???,Prince of Persia: Arabian Nights,T41405N   ,USA,T41405N
PRIHOLI_.SYS,Princess Holiday: Korogaru Ringo Tei Sen'ya Ichiya,T47106M   ,Japan,
PRIMAKE2.000,Princess Maker Collection,T44801M   ,Japan,T44801M
PRISMHEART00,Prism Heart,T19712M   ,Japan,T19711M
PRISMATIC000,Prismaticallization,T22002M   ,Japan,
MJUSTICE_???,Moero! Justice Gakuen,T1221M    ,Japan,T1221M
PJUSTICE_???,Project Justice,T1219N    ,USA,T1219N
PJUSTICE_???,Project Justice: Rival Schools 2,T7022D  50,Europe,T1219N
PROPARNA.SYS,Propeller Arena,MK-51162  ,USA,
PSO______???,Phantasy Star Online,MK-5110050,Europe,MK5110050
PSO______???,Phantasy Star Online,HDR-0129  ,Japan,MK5110050
PSO______???,Phantasy Star Online,MK-51100  ,USA,MK5110050
PSO______???,Phantasy Star Online Ver. 2,MK-5119350,Europe,MK5110050
PSO______???,Phantasy Star Online Ver. 2,HDR-0163  ,Japan,MK5110050
PSO______???,Phantasy Star Online Ver. 2,MK-51193  ,USA,MK5110050
PSYCHIC_2012,Psychic Force 2012,T-8106D-50,Europe,T8106D50
PSYCHIC_2012,Psychic Force 2012,T1101M    ,Japan,T8106D50
PSYCHIC_2012,Psychic Force 2012,T-31101N  ,USA,T8106D50
102DALMATIAN,Disney's 102 Dalmatians: Puppies to the Rescue,T36813D 50,Europe,T36813D
102DALMATIAN,Disney's 102 Dalmatians: Puppies to the Rescue,T36803N   ,USA,T36813D
102DALMATIAN,Disney's 102 Dalmatians: Puppies to the Rescue,T36813D 05,UK,T36813D
PUYOFEVERSYS,Puyo Puyo Fever,HDR-0216  ,Japan,HDR0216
PUYOPUYO4SYS,Puyo Puyoon,HDR-0014  ,Japan,HDR0014
QUAKE3_ARENA,Quake III: Arena,MK-5106150,Europe,MK5106150
QUAKE3_ARENA,Quake III: Arena,MK-51061  ,USA,MK5106150
RTYCOON2.???,Railroad Tycoon II,T40505D 50,Europe,T40505D50
RTYCOON2.???,Railroad Tycoon II,T41902N   ,USA,T40505D50
R_COTTON.SCO,Rainbow Cotton,T9901M    ,Japan,T9901M
RAYMAN_2.???,Rayman 2: The Great Escape,17707D    ,Europe,T17707D50
RAYMAN_2.???,Rayman 2: The Great Escape,17707N    ,USA,T17707D50
SCOOTER__DAT,Razor Freestyle Scooter,T40219N   ,USA,T40214D50
R2RUMBLE.???,Ready 2 Rumble Boxing,T9704D  50,Europe,
R2RUMBLE.???,Ready 2 Rumble Boxing,T9704N    ,USA,
R2RUMBLE.???,Ready 2 Rumble Boxing,T9704D  05,UK,
R2RUMBLE.???,Ready 2 Rumble Boxing: Uchikome Warai no Megaton Punch!!,HDR-0051  ,Japan,
RUMBLER2.SYS,Ready 2 Rumble Boxing: Round 2,T9711D  50,Europe,
RUMBLER2.SYS,Ready 2 Rumble Boxing: Round 2,T9717N    ,USA,
LODOSS__.???,Record of Lodoss War,T7012D  05,Europe,
LODOSS__.???,Record of Lodoss War,T7012D  09,France,
LODOSS__.???,Record of Lodoss War,T7012D  18,Germany,
LODOSS__.???,Record of Lodoss War,T40218N   ,USA,
LODOSS__.???,Record of Lodoss War: The Advent of Cardice,T27903M   ,Japan,
RED_DOG__SYS,Red Dog: Superior Firepower,MK-5102151,Europe,MK51021
RED_DOG__SYS,Red Dog: Superior Firepower,T40215N   ,USA,MK51021
REDLINER.SAV,Redline Racer,T15002M   ,Japan,T15002M
REELFISH.SYS,Reel Fishing | Wild,T44303N   ,USA,T44303N
RENTA1___001,Rent a Hero No. 1,HDR-0074  ,Japan,
BIOHAZRD2???,Biohazard 2,T1214M    ,Japan,T1207M
RESEVIL2.???,Resident Evil 2,T7004D  50,Europe,T1205N
RESEVIL2.???,Resident Evil 2,T1205N    ,USA,T1205N
BIOHAZRD3???,Biohazard 3: Last Escape,T1222M    ,Japan,T1222M
RESEVIL3.???,Resident Evil 3: Nemesis,T7021D  05,Europe,T7021D05
RESEVIL3.???,Resident Evil 3: Nemesis,T7021D  72,Europe,T7021D05
RESEVIL3.???,Resident Evil 3: Nemesis,T7021D  18,Germany,T7021D05
RESEVIL3.???,Resident Evil 3: Nemesis,T1220N    ,USA,T7021D05
VERONICA.???,Biohazard: Code: Veronica,T1207M    ,Japan,T1207M
RE_CV000.???,Resident Evil: Code: Veronica,T36806D 05,Europe,T1204N
RE_CV000.???,Resident Evil: Code: Veronica,T36806D 09,France,T1204N
RE_CV000.???,Resident Evil: Code: Veronica,T36806D 18,Germany,T1204N
RE_CV000.???,Resident Evil: Code: Veronica,T36806D 06,Spain,T1204N
RE_CV000.???,Resident Evil: Code: Veronica,T1204N    ,USA,T1204N
REVIVE___SYS,Revive,T1301M    ,Japan,T1301M
REVOLTDC.SAV,Re-Volt,T8107D  50,Europe,T8107D50
REVOLTDC.SAV,Re-Volt,T-8101M   ,Japan,T8107D50
REVOLTDC.SAV,Re-Volt,T-8109N   ,USA,T8107D50
REZ_________,Rez,MK-5119250,Europe,MK5119250
REZ_________,Rez,HDR-0178  ,Japan,MK5119250
R_RIDERS.???,Rippin' Riders,MK-51010  ,USA,MK51010
ROADSTER.???,Roadsters,T22901D 50,Europe,T22903D50
ROADSTER.???,Roadsters,T22901N   ,USA,T22903D50
ROOMMATE_NVL,Roommate Novel: Satou Yuka,T19502M   ,Japan,T19502M
ROGUE_SP.???,Tom Clancy's Rainbow Six: Rogue Spear + Mission Pack: Urban Operations,T45002D-05,Europe,T45002D05
ROGUE_SP.???,Tom Clancy's Rainbow Six: Rogue Spear + Mission Pack: Urban Operations,T-45002D09,France,T45002D05
ROGUE_SP.???,Tom Clancy's Rainbow Six: Rogue Spear + Mission Pack: Urban Operations,T-45002D18,Germany,T45002D05
ROGUE_SP.???,Tom Clancy's Rainbow Six: Rogue Spear + Mission Pack: Urban Operations,T40402N   ,USA,T45002D05
RUSH2049.???,San Francisco Rush 2049,T-9709D-50,Europe,
RUSH2049.???,San Francisco Rush 2049,T-9707N   ,USA,
NISIKAZE.001,The Rhapsody of Zephyr,T44502M   ,Japan,
SAKATOKU.C98,Sakatsuku Tokudai-gou: J.League Pro Soccer Club o Tsukurou!,HDR-0126  ,Japan,
SAKATOK2.A??,Sakatsuku Tokudai-gou 2: J.League Pro Soccer Club o Tsukurou!,HDR-0183  ,Japan,
SAKURA_1.???,Sakura Taisen,HDR-0072  ,Japan,HDR0089
SAKURA_2.???,"Sakura Taisen 2: Kimi, Shinitamou Koto Nakare",HDR-0082  ,Japan,HDR0082
SAKURA_3.???,Sakura Taisen 3: Paris wa Moeteiru ka,HDR-0152  ,Japan,HDR0152
SW.3_DDL.???,Sakura Taisen 3: Paris wa Moeteiru ka,HDR-0152  ,Japan,HDR0152
SAKURA_4.???,Sakura Taisen 4: Koi seyo Otome,HDR-0191  ,Japan,HDR0191
SKRSHOW1.SYS,"Oogami Ichirou Funtouki: Sakura Taisen Kayou Show ""Beni Tokage"" yori",HDR-0057  ,Japan,HDR0057
HANACUL2.SYS,Sakura Taisen: Hanagumi Taisen Columns 2,HDR-0046  ,Japan,HDR0046
CCS_TOMO.001,Cardcaptor Sakura: Tomoyo no Video Daisakusen,HDR-0115  ,Japan,HDR0115
SAMBAUS1.???,Samba de Amigo,MK-5109250,Europe,MK5109250
SAMBAUS1.???,Samba de Amigo,MK-51092  ,USA,MK5109250
SAMBADE1.???,Samba de Amigo,HDR-0063  ,Japan,MK5109250
SAMBAV2K.???,Samba de Amigo Ver. 2000,HDR-0131  ,Japan,HDR0131
SEGAGAGA.001,SGGG: Segagaga,HDR-0151  ,Japan,HDR0083
SEGAGT__.???,Sega GT,MK-5105350,Europe,MK51053
SEGAGT__.???,Sega GT,MK-51053  ,USA,MK51053
SEGAGT__.???,Sega GT: Homologation Special,HDR-0054  ,Japan,MK51053
SGRALLY2I0VD,Sega Rally 2,MK-5101950,Europe,MK5101950
SGRALLY2I0VD,Sega Rally 2,MK-51019  ,USA,MK5101950
SG_RALLY20VD,Sega Rally 2,HDR0010   ,Japan,HDR0010
RAYBLADE_001,Seireiki Rayblade,T42201M   ,Japan,
7THCRSEV_000,Seventh Cross Evolution,T41301N   ,USA,
